Source Category Code,Source category name,Source subcategory,Source subcategory name,Agency code,Agency name,Bureau code,Bureau name,Account code,Account name,Treasury Agency code,On- or off-budget,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
931,Individual Income Taxes,00,Individual Income Taxes,009,Department of Health and Human Services,00,Department of Health and Human Services,800415,"Supplemental Catastrophic Premium, Refunds, FSMI",20,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-566,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
931,Individual Income Taxes,00,Individual Income Taxes,009,Department of Health and Human Services,00,Department of Health and Human Services,818210,FHICCR supplemental catastrophic premium,20,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"527,000","39,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
931,Individual Income Taxes,00,Individual Income Taxes,015,Department of the Treasury,00,Department of the Treasury,551010,Private Collection Agent Program,20,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,000","13,000","10,000",0,0,0,0,0,0,0,0,0,0,0
931,Individual Income Taxes,00,Individual Income Taxes,901,Governmental Receipts,00,Governmental Receipts,011050,Individual Income Taxes,99,On-budget,"45,571,090","47,587,746","48,696,942","48,791,672","55,446,121","61,525,756","68,725,513","87,248,949","90,411,787","86,230,010","94,736,616","103,245,521","118,951,631","122,385,980","131,602,555","38,800,969","157,626,065","180,987,774","217,840,966","244,068,898","285,917,100","297,744,492","288,937,814","298,415,430","334,531,018","348,959,411","392,557,016","401,181,069","445,163,230","467,378,818","467,795,124","475,933,931","509,652,473","542,984,997","590,175,000","656,351,000","737,399,000","828,523,000","879,419,000","1,004,401,000","994,281,000","858,278,000","793,644,000","808,903,000","927,169,000","1,043,858,000","1,163,411,000","1,145,685,000","915,253,000","898,508,000","1,091,433,000","1,132,169,000","1,316,370,000","1,394,538,000","1,478,026,000","1,645,578,000","1,770,297,000","1,886,834,000","1,999,750,000","2,118,356,000"
931,Individual Income Taxes,00,Individual Income Taxes,901,Governmental Receipts,00,Governmental Receipts,508110,Presidential Election Campaign Fund,20,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,469","32,319","29,571","27,643","69,755","69,000","66,000","67,000","63,000","61,000","61,000","58,000","67,000","55,000","56,000","53,000","50,000","50,000","49,000","45,000","41,000","40,000","37,000","35,000","30,000","50,000","50,000","50,000","50,000","50,000","50,000"
932,Corporation Income Taxes,00,Corporation Income Taxes,020,Environmental Protection Agency,00,Environmental Protection Agency,814515,"Corporation Income Taxes, Hazardous Substance Superfund",68,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"196,000","313,000","292,000","460,955","591,113","379,954","885,773","652,695","612,000","323,000","4,000","79,000","10,000","3,000","4,000","7,000","-99,000","1,000","4,000","1,000","3,000",0,"1,000","2,000",0,0,0,0,0,"996,000","1,257,000","1,282,000","1,305,000","1,315,000"
932,Corporation Income Taxes,05,Corporation Income Taxes,901,Governmental Receipts,00,Governmental Receipts,011100,Corporation Income and Excess Profits Taxes,99,On-budget,"20,522,658","21,578,900","23,492,522","25,460,945","30,073,028","33,971,357","28,664,673","36,677,558","32,829,330","26,784,575","32,165,916","36,152,530","38,619,654","40,621,179","41,408,703","8,460,466","54,892,364","59,951,866","65,676,588","64,599,673","61,137,136","49,206,969","37,021,566","56,892,983","61,330,690","63,143,307","83,729,770","94,195,098","102,999,115","93,045,743","97,494,709","99,890,412","116,634,409","139,732,030","156,392,000","171,501,000","182,289,000","188,598,000","184,670,000","207,286,000","151,071,000","148,037,000","131,877,000","189,370,000","278,278,000","353,914,000","370,240,000","304,346,000","138,228,000","191,435,000","181,085,000","242,289,000","273,506,000","320,731,000","341,688,000","472,308,000","498,506,000","501,745,000","505,901,000","511,220,000"
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,009,Department of Health and Human Services,00,Department of Health and Human Services,800500,"FHI Trust Fund, Receipts",20,On-budget,0,0,0,0,"893,007","2,644,884","3,492,662","4,398,012","4,755,096","4,874,233","5,204,673","7,603,340","10,551,433","11,251,845","11,987,415","3,456,555","13,473,539","16,667,773","19,874,177","23,216,569","30,339,920","34,301,279","35,641,215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,009,Department of Health and Human Services,00,Department of Health and Human Services,800501,"FHI Trust Fund, Transfers from General Fund (FICA Taxes)",75,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,556,795","38,500,530","43,550,277","50,969,256","56,199,570","61,710,313","64,271,999","67,595,245","73,362,137","76,170,466","83,952,176","88,934,000","97,866,000","103,500,000","110,455,000","123,360,000","125,909,000","139,507,000","138,876,000","136,885,000","139,409,000","154,400,000","165,160,000","171,022,000","178,875,000","175,443,000","165,547,000","175,094,000","186,773,000","192,707,000","205,296,000","214,828,000","225,665,000","238,354,000","251,684,000","264,237,000","275,211,000"
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,009,Department of Health and Human Services,00,Department of Health and Human Services,800510,"FHI Trust Fund, Receipts from Railroad Retirement Board",75,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"308,000","325,700","321,100","329,900","332,400","344,600","332,300","329,000","336,800","381,000","394,400","358,000","362,000","380,000","381,000","388,000","418,000","422,000","388,000","396,000","391,000","416,000","440,000","455,000","494,000","496,000","507,000","452,000","484,000","547,000","581,000","594,000","608,000","622,000","641,000","663,000","683,000"
